pair,model,trades,win_rate,total_pnl,model_acc
EURCHF=X,rule,10,30.0,0.6526004350891528,0.0
EURCHF=X,xgboost,7,28.57142857142857,0.9281854886356238,0.5263157894736842
EURCHF=X,rf,5,20.0,-1.249481163320346,0.5263157894736842
EURCHF=X,svm_hmm,3,33.33333333333333,0.9962328978605812,0.47368421052631576
EURSEK=X,rule,8,12.5,-5.258355561058277,0.0
EURSEK=X,xgboost,8,12.5,-4.373503118753643,0.5769230769230769
EURSEK=X,rf,8,12.5,-4.361992316501277,0.5641025641025641
EURSEK=X,svm_hmm,8,12.5,-4.572874603224041,0.5
GBPJPY=X,rule,7,28.57142857142857,1.4557697804657606,0.0
GBPJPY=X,xgboost,8,25.0,-2.285124350998654,0.6705882352941176
GBPJPY=X,rf,1,0.0,-1.19007604519519,0.5294117647058824
GBPJPY=X,svm_hmm,5,20.0,-0.8465151069068051,0.5647058823529412
GBPCHF=X,rule,7,28.57142857142857,-3.177772844293231,0.0
GBPCHF=X,xgboost,6,16.666666666666664,-4.520287060625774,0.5454545454545454
GBPCHF=X,rf,4,25.0,-2.100430893686344,0.5194805194805194
GBPCHF=X,svm_hmm,0,0.0,0.0,0.38961038961038963
AUDJPY=X,rule,10,30.0,0.10225699013117762,0.0
AUDJPY=X,xgboost,6,50.0,9.233941509326723,0.5357142857142857
AUDJPY=X,rf,2,50.0,4.118477322174802,0.5238095238095238
AUDJPY=X,svm_hmm,2,50.0,4.153078180227613,0.5357142857142857
USDZAR=X,rule,11,0.0,-59.29234053286984,0.0
USDZAR=X,xgboost,8,0.0,-36.87373806099609,0.5164835164835165
USDZAR=X,rf,8,0.0,-35.717126229123295,0.5494505494505495
USDZAR=X,svm_hmm,12,8.333333333333332,-37.65386056062885,0.5054945054945055
USDMXN=X,rule,11,27.27272727272727,8.038562911719286,0.0
USDMXN=X,xgboost,7,42.857142857142854,16.78736845880072,0.6024096385542169
USDMXN=X,rf,8,37.5,9.368397812536926,0.5903614457831325
USDMXN=X,svm_hmm,2,100.0,16.704208105805012,0.6144578313253012
USDCNY=X,rule,1,0.0,0.0,0.0
USDCNY=X,xgboost,1,0.0,0.0,0.6818181818181818
USDCNY=X,rf,1,0.0,0.0,0.5151515151515151
USDCNY=X,svm_hmm,1,0.0,0.0,0.5606060606060606
USDINR=X,rule,5,60.0,1.7193936944636066,0.0
USDINR=X,xgboost,1,100.0,1.6258986322389344,0.6
USDINR=X,rf,1,100.0,1.6258986322389344,0.6333333333333333
USDINR=X,svm_hmm,1,100.0,1.5071809005870211,0.6
USDRUB=X,rule,10,20.0,-5.200237266901867,0.0
USDRUB=X,xgboost,13,23.076923076923077,-2.839845826363436,0.5054945054945055
USDRUB=X,rf,14,21.428571428571427,-0.9404915767853952,0.46153846153846156
USDRUB=X,svm_hmm,11,27.27272727272727,6.39918643823882,0.4725274725274725
USDSGD=X,rule,4,25.0,-0.9588592935559181,0.0
USDSGD=X,xgboost,4,25.0,-0.6799527357327309,0.5
USDSGD=X,rf,4,25.0,-0.9588592935559181,0.5
USDSGD=X,svm_hmm,4,25.0,-0.9588592935559181,0.4861111111111111
USDHKD=X,rule,7,14.285714285714285,-0.25462173088781836,0.0
